Known As,Full Name,Age,Overall,Positions Played,Best Position,Nationality,Club Name
P. Pentke,Philipp Pentke,37,71,GK,GK,Germany,TSG Hoffenheim
F. Niederlechner,Florian Niederlechner,31,74,ST,ST,Germany,FC Augsburg
S. Schimmer,Stefan Schimmer,28,67,ST,ST,Germany,1. FC Heidenheim 1846
B. Saller,Benedikt Saller,29,69,RB,RB,Germany,SSV Jahn Regensburg
T. Kempe,Tobias Kempe,33,73,"CM,CAM",CM,Germany,SV Darmstadt 98
M. Ritter,Marlon Ritter,27,67,"CM,CDM,CAM",CAM,Germany,1. FC Kaiserslautern
L. Zingerle,Leopold Zingerle,28,69,GK,GK,Germany,SC Paderborn 07
P. Will,Paul Will,23,66,"CDM,CM",CDM,Germany,SG Dynamo Dresden
D. Schad,Dominik Schad,25,66,"RB,LB,RM",RB,Germany,1. FC Kaiserslautern
M. Seegert,Marcel Seegert,28,69,CB,CB,Germany,SV Waldhof Mannheim 07
K. Narey,Khaled Narey,27,74,"RW,RB",RW,Germany,PAOK
J. Arp,Jann-Fiete Arp,22,66,"ST,RM,LM",ST,Germany,Holstein Kiel
A. Opoku,Aaron Opoku,23,67,"LW,RW",RM,Germany,1. FC Kaiserslautern
L. Samardžić,Lazar Samardžić,20,68,"CAM,CM",CAM,Germany,Udinese Calcio
J. Dehm,Jannik Dehm,26,68,"RB,RM",RWB,Germany,Hannover 96
K. Broll,Kevin Broll,26,70,GK,GK,Germany,Górnik Zabrze
Y. Bisseck,Yann Aurel Bisseck,21,69,CB,CB,Germany,Aarhus GF
B. Gimber,Benedikt Gimber,25,71,CDM,CB,Germany,SSV Jahn Regensburg
R. Glatzel,Robert Glatzel,28,73,ST,ST,Germany,Hamburger SV
O. Käuper,Ole Käuper,25,66,"CDM,CM",CM,Germany,SV Meppen
M. Gersbeck,Marius Gersbeck,27,71,GK,GK,Germany,Karlsruher SC
L. Öztunalı,Levin Öztunalı,26,71,"RM,CM,RWB",RM,Germany,1. FC Union Berlin
V. Eicher,Vitus Eicher,31,66,GK,GK,Germany,1. FC Heidenheim 1846
S. Schonlau,Sebastian Schonlau,27,72,CB,CB,Germany,Hamburger SV
A. Arslan,Ahmet Arslan,28,67,"CM,CDM,CAM",CAM,Germany,SG Dynamo Dresden
E. Wekesser,Erik Wekesser,24,69,"LB,CAM",LB,Germany,1. FC Nürnberg
B. Goller,Benjamin Goller,23,69,"RW,CF,RWB",RM,Germany,SV Werder Bremen
F. Porath,Finn Porath,25,68,"CM,RM,RW",RM,Germany,Holstein Kiel
S. Terodde,Simon Terodde,34,76,ST,ST,Germany,FC Schalke 04
R. Ache,Ragnar Ache,23,68,ST,ST,Germany,SpVgg Greuther Fürth
A. Papadopoulos,Antonios Papadopoulos,22,66,"CB,CM",CB,Germany,Borussia Dortmund II
P. Menzel,Phillip Menzel,23,66,GK,GK,Germany,SK Austria Klagenfurt
D. Diekmeier,Dennis Diekmeier,32,70,RB,RB,Germany,SV Sandhausen
J. Schöppner,Jan Schöppner,23,69,CDM,CDM,Germany,1. FC Heidenheim 1846
A. Gogia,Akaki Gogia,30,69,"RM,RW,LM",RM,Germany,SG Dynamo Dresden
J. Biada,Julius Biada,29,67,"CAM,ST",CAM,Germany,1. FC Saarbrücken
K. Sessa,Kevin Sessa,21,68,"CM,RM",RM,Germany,1. FC Heidenheim 1846
R. Leipertz,Robert Leipertz,29,69,"RM,ST,CAM",RM,Germany,SC Paderborn 07
R. Bormuth,Robin Bormuth,26,69,CB,CB,Germany,1. FC Kaiserslautern
T. Meißner,Thomas Meißner,31,66,CB,CB,Germany,F.C. Hansa Rostock
A. Hack,Alexander Hack,28,74,CB,CB,Germany,1. FSV Mainz 05
L. Zander,Luca Zander,26,69,RB,RB,Germany,FC St. Pauli
D. Selke,Davie Selke,27,71,ST,ST,Germany,Hertha BSC
N. Bätzner,Nick Bätzner,22,69,"CM,RM,LM",CAM,Germany,KV Oostende
I. Matanović,Igor Matanović,19,67,ST,ST,Germany,FC St. Pauli
P. Sander,Philipp Sander,24,66,"CM,CDM,RM",CM,Germany,Holstein Kiel
H. Wahl,Hauke Wahl,28,70,CB,CB,Germany,Holstein Kiel
L. Podolski,Lukas Podolski,37,72,"CF,ST,CAM",ST,Germany,Górnik Zabrze
H. Weydandt,Hendrik Weydandt,26,67,ST,ST,Germany,Hannover 96
M. Komenda,Marco Komenda,25,68,"CB,LB",CB,Germany,Holstein Kiel
J. Nikolaou,Jannis Nikolaou,28,69,"CDM,CB,CM",CDM,Germany,Eintracht Braunschweig
A. Mühling,Alexander Mühling,29,70,CM,CM,Germany,Holstein Kiel
M. Eberwein,Michael Eberwein,26,66,"CAM,ST",ST,Germany,Borussia Dortmund II
S. Thesker,Stefan Thesker,31,67,CB,CB,Germany,Holstein Kiel
K. Fischer,Kilian Fischer,21,69,"RB,CM",RB,Germany,VfL Wolfsburg
J. Kade,Julius Kade,23,66,"CM,CDM",CAM,Germany,SG Dynamo Dresden
N. Körber,Nils Körber,25,68,GK,GK,Germany,F.C. Hansa Rostock
M. Zimmermann,Matthias Zimmermann,30,71,RB,RB,Germany,Fortuna Düsseldorf
J. Mees,Joshua Mees,26,67,"LM,LW,RW",LM,Germany,SSV Jahn Regensburg
D. Geiger,Dennis Geiger,24,75,CM,CM,Germany,TSG Hoffenheim
M. Engels,Mario Engels,28,66,"ST,LM",ST,Germany,Sparta Rotterdam
M. Wintzheimer,Manuel Wintzheimer,23,68,"ST,LW,RW",ST,Germany,1. FC Nürnberg
P. Hofmann,Philipp Hofmann,29,74,ST,ST,Germany,VfL Bochum 1848
E. Thommy,Erik Thommy,27,72,"LM,RM,CF",LM,Germany,Sporting Kansas City
P. Jaeckel,Paul Jaeckel,23,74,"CB,CDM",CB,Germany,1. FC Union Berlin
T. Leibold,Tim Leibold,28,74,"LB,LM",LB,Germany,Hamburger SV
F. Becker,Finn Ole Becker,22,69,CM,CAM,Germany,TSG Hoffenheim
E. Shuranov,Erik Shuranov,20,67,ST,ST,Germany,1. FC Nürnberg
M. Gulde,Manuel Gulde,31,74,CB,CB,Germany,Sport-Club Freiburg
K. Schlotterbeck,Keven Schlotterbeck,25,72,CB,CB,Germany,Sport-Club Freiburg
L. Czyborra,Lennart Czyborra,23,69,"LB,LM",LWB,Germany,Genoa
P. Erras,Patrick Erras,27,66,"CDM,CB",CDM,Germany,Holstein Kiel
D. Baumann,Dominic Baumann,27,66,ST,ST,Germany,FSV Zwickau
C. Lenz,Christopher Lenz,27,74,"LWB,LM",LWB,Germany,Eintracht Frankfurt
A. Condé,Amara Condé,25,68,CM,CM,Germany,1. FC Magdeburg
E. Martel,Eric Martel,20,67,"CDM,CB",CB,Germany,1. FC Köln
P. Herrmann,Patrick Herrmann,31,73,RM,RM,Germany,Borussia Mönchengladbach
F. Jäkel,Frederik Jäkel,21,68,CB,CB,Germany,DSC Arminia Bielefeld
M. Plattenhardt,Marvin Plattenhardt,30,74,LB,LB,Germany,Hertha BSC
K. Ehlers,Kevin Ehlers,21,67,CB,CB,Germany,SG Dynamo Dresden
J. Torunarigha,Jordan Torunarigha,24,73,"CB,LB",CB,Germany,KAA Gent
E. Oelschlägel,Eric Oelschlägel,26,67,GK,GK,Germany,FC Emmen
R. Becker,Robin Becker,25,67,"RB,CB",RB,Germany,SG Dynamo Dresden
J. Bachmann,Janik Bachmann,26,69,"CDM,CAM,CM",CB,Germany,SV Sandhausen
S. Polter,Sebastian Polter,31,73,ST,ST,Germany,FC Schalke 04
N. Petersen,Nils Petersen,33,74,ST,ST,Germany,Sport-Club Freiburg
T. Mohr,Tobias Mohr,26,73,LM,LM,Germany,FC Schalke 04
M. Zeitz,Manuel Zeitz,31,67,"CDM,CB,CM",CDM,Germany,1. FC Saarbrücken
S. Nachreiner,Sebastian Nachreiner,33,66,CB,CB,Germany,SSV Jahn Regensburg
A. Meyer,Alexander Meyer,31,71,GK,GK,Germany,Borussia Dortmund
L. Dietz,Lars Dietz,25,67,"CB,CDM",CB,Germany,Viktoria Köln
J. Thielmann,Jan Thielmann,20,73,"RM,CF,LM",RM,Germany,1. FC Köln
G. Nauber,Gerrit Nauber,30,69,CB,CB,Germany,Go Ahead Eagles
J. Meffert,Jonas Meffert,27,72,"CDM,CM",CDM,Germany,Hamburger SV
L. Kilian,Luca Kilian,22,74,CB,CB,Germany,1. FC Köln
F. Ballas,Florian Ballas,29,67,CB,CB,Germany,Karlsruher SC
J. Gyamerah,Jan Gyamerah,27,69,"RB,LB,CB",RB,Germany,1. FC Nürnberg
K. Pröger,Kai Pröger,30,69,"RM,ST",RM,Germany,F.C. Hansa Rostock
M. Müller,Marius Müller,28,73,GK,GK,Germany,FC Luzern
M. Dárdai,Márton Dárdai,20,71,CB,CB,Germany,Hertha BSC
S. Ernst,Sebastian Ernst,27,70,"CAM,CM",CAM,Germany,Hannover 96
D. Ginczek,Daniel Ginczek,31,71,"ST,RW",ST,Germany,Fortuna Düsseldorf
F. Reese,Fabian Reese,24,71,"LM,LW,RW",RM,Germany,Holstein Kiel
P. Weihrauch,Patrick Weihrauch,28,66,"CM,CAM",CAM,Germany,SG Dynamo Dresden
K. Schulz,Kofi Schulz,32,66,"LB,LWB,CB",LB,Germany,WSG Tirol
A. Hahn,André Hahn,31,74,"ST,RM",ST,Germany,FC Augsburg
V. Janelt,Vitaly Janelt,24,74,"CM,CDM",CDM,Germany,Brentford
L. Kübler,Lukas Kübler,29,74,"RB,RWB,RM",RB,Germany,Sport-Club Freiburg
S. Michel,Sven Michel,31,73,"ST,LW",ST,Germany,1. FC Union Berlin
I. Touré,Idrissa Touré,24,66,"CM,CDM",CAM,Germany,Pisa
K. Adeyemi,Karim Adeyemi,20,75,ST,ST,Germany,Borussia Dortmund
P. Klement,Philipp Klement,29,71,"CAM,CM",CAM,Germany,1. FC Kaiserslautern
B. Zolinski,Ben Zolinski,30,68,"LM,ST,RM",LM,Germany,1. FC Kaiserslautern
F. Klos,Fabian Klos,34,70,ST,ST,Germany,DSC Arminia Bielefeld
O. Kragl,Oliver Kragl,32,71,"LM,LB,CM",LM,Germany,SV Ried
M. Schubert,Markus Schubert,24,67,GK,GK,Germany,Vitesse
M. Meyerhöfer,Marco Meyerhöfer,26,71,"RB,RM",RB,Germany,SpVgg Greuther Fürth
F. Herbers,Fabian Herbers,28,66,"CAM,RM,CM",CAM,Germany,Chicago Fire Football Club
L. Weinkauf,Leo Weinkauf,25,66,GK,GK,Germany,Hannover 96
A. Bittroff,Alexander Bittroff,33,67,CB,CB,Germany,1. FC Magdeburg
L. Tempelmann,Lino Tempelmann,23,70,"CM,CDM",CAM,Germany,1. FC Nürnberg
J. David,Jonas David,22,68,"CB,CDM",CB,Germany,Hamburger SV
P. Neumann,Phil Neumann,24,70,"CB,RB",RB,Germany,Hannover 96
P. Tietz,Phillip Tietz,24,71,ST,ST,Germany,SV Darmstadt 98
F. Flick,Florian Flick,22,68,"CDM,CM,CB",CDM,Germany,FC Schalke 04
M. Richter,Marco Richter,24,74,"RM,CAM,LM",ST,Germany,Hertha BSC
D. Dressel,Dennis Dressel,23,66,"CDM,CM,LWB",CM,Germany,F.C. Hansa Rostock
D. Kinsombi,David Kinsombi,26,70,"CM,CDM",CM,Germany,SV Sandhausen
T. Schreiber,Tim Schreiber,20,66,GK,GK,Germany,Holstein Kiel
A. Müller,Andreas Müller,21,68,CDM,CM,Germany,1. FC Magdeburg
C. Braun,Christopher Braun,30,67,RB,RB,Germany,CFR Cluj
C. Bozdoğan,Can Bozdoğan,21,68,"CAM,CM",CAM,Germany,FC Utrecht
A. Pieper,Amos Pieper,24,75,CB,CB,Germany,SV Werder Bremen
M. John,Marco John,20,66,LB,LM,Germany,SpVgg Greuther Fürth
B. Tomiak,Boris Tomiak,23,68,CB,CB,Germany,1. FC Kaiserslautern
J. Eggestein,Johannes Eggestein,24,70,"ST,RW",CAM,Germany,FC St. Pauli
T. Krauß,Tom Krauß,21,71,"CM,CDM",CM,Germany,FC Schalke 04
M. Thalhammer,Maximilian Thalhammer,24,68,"CDM,CM",CDM,Germany,SSV Jahn Regensburg
C. Fandrich,Clemens Fandrich,31,68,"CM,CDM",CM,Germany,Rot-Weiß Essen
D. Heintz,Dominique Heintz,28,73,CB,CB,Germany,VfL Bochum 1848
B. Henning,Bryan Henning,27,68,"CM,CAM",CDM,Germany,Eintracht Braunschweig
N. Weißhaupt,Noah Weißhaupt,20,66,"LM,CF",RM,Germany,Sport-Club Freiburg
C. Zimmermann,Christoph Zimmermann,29,70,CB,CB,Germany,SV Darmstadt 98
L. Netz,Luca Netz,19,73,"LB,LM",LB,Germany,Borussia Mönchengladbach
D. Drexler,Dominick Drexler,32,70,"CAM,CM,RM",CAM,Germany,FC Schalke 04
L. Waldschmidt,Luca Waldschmidt,26,75,"CF,ST",CAM,Germany,VfL Wolfsburg
M. Schnatterer,Marc Schnatterer,36,68,"LM,RM",LM,Germany,SV Waldhof Mannheim 07
L. Schuler,Luca Schuler,23,66,ST,ST,Germany,1. FC Magdeburg
T. Kleindienst,Tim Kleindienst,26,71,ST,ST,Germany,1. FC Heidenheim 1846
N. Shipnoski,Nicklas Shipnoski,24,67,"RM,CAM,RW",RM,Germany,SSV Jahn Regensburg
D. Kother,Dominik Kother,22,66,LM,RW,Germany,SV Waldhof Mannheim 07
M. Mehlem,Marvin Mehlem,24,70,"CAM,LM",CAM,Germany,SV Darmstadt 98
L. Klünter,Lukas Klünter,26,70,"CB,RWB",CB,Germany,DSC Arminia Bielefeld
M. Steinmann,Matti Steinmann,27,66,"CM,CDM",CM,Germany,Brisbane Roar
A. Geipl,Andreas Geipl,30,68,CDM,CB,Germany,1. FC Heidenheim 1846
D. Burnić,Dženis Burnić,24,68,"CM,CDM",LWB,Germany,1. FC Heidenheim 1846
U. Taffertshofer,Ulrich Taffertshofer,30,68,"CDM,CM,CB",CDM,Germany,FC Erzgebirge Aue
L. Mai,Lars Lukas Mai,22,66,CB,CB,Germany,FC Lugano
A. Stiller,Angelo Stiller,21,73,"CDM,CM",CM,Germany,TSG Hoffenheim
F. Nürnberger,Fabian Nürnberger,22,70,"CM,CDM,LM",CAM,Germany,1. FC Nürnberg
M. Jenz,Moritz Jenz,23,68,CB,CB,Germany,Celtic
E. Valentini,Enrico Valentini,33,68,RB,RB,Germany,1. FC Nürnberg
P. Seguin,Paul Seguin,27,72,CM,CM,Germany,1. FC Union Berlin
S. Griesbeck,Sebastian Griesbeck,31,71,"CB,CDM",CB,Germany,SpVgg Greuther Fürth
N. Seufert,Nils Seufert,25,67,"CM,CDM",CM,Germany,SpVgg Greuther Fürth
J. Müller,Jannik Müller,28,67,CB,CB,Germany,SV Darmstadt 98
P. Sontheimer,Patrick Sontheimer,23,66,"CM,CDM",CM,Germany,Viktoria Köln
B. Bahn,Bentley Baxter Bahn,29,67,"CAM,CM",RM,Germany,SV Waldhof Mannheim 07
L. Gechter,Linus Gechter,18,68,CB,CB,Germany,Hertha BSC
J. Brinkies,Johannes Brinkies,29,68,GK,GK,Germany,FSV Zwickau
T. Tillman,Timothy Tillman,23,68,"CM,CAM,LW",CAM,Germany,SpVgg Greuther Fürth
C. Mathenia,Christian Mathenia,30,73,GK,GK,Germany,1. FC Nürnberg
M. Hoffmeier,Marcel Hoffmeier,22,65,"CB,CDM",CB,Germany,SC Paderborn 07
S. Burchert,Sascha Burchert,32,70,GK,GK,Germany,FC St. Pauli
T. Trybull,Tom Trybull,29,71,"CDM,CM",CDM,Germany,SV Sandhausen
B. Taz,Berkan Taz,23,67,"CAM,CF,LM",CAM,Germany,SV Waldhof Mannheim 07
M. Heyer,Moritz Heyer,27,71,"RB,CDM,CB",RB,Germany,Hamburger SV
D. Thomalla,Denis Thomalla,29,66,"CF,CAM,ST",CF,Germany,1. FC Heidenheim 1846
K. Adeyemi,Karim Adeyemi,20,75,ST,ST,Germany,Borussia Dortmund
J. Pollersbeck,Julian Pollersbeck,27,70,GK,GK,Germany,Olympique Lyonnais
D. Hanslik,Daniel Hanslik,25,66,"ST,LM,RM",ST,Germany,1. FC Kaiserslautern
F. Bredlow,Fabian Bredlow,27,68,GK,GK,Germany,VfB Stuttgart
T. Knipping,Tim Knipping,29,68,CB,CB,Germany,SG Dynamo Dresden
D. Linsmayer,Denis Linsmayer,30,66,"CDM,CM",CDM,Germany,FC Ingolstadt 04
M. Weiser,Mitchell Weiser,28,73,"RWB,RM",RWB,Germany,SV Werder Bremen
J. Boller,Jan Boller,22,66,CB,CB,Germany,LASK Linz
U. Hünemeier,Uwe Hünemeier,36,71,CB,CB,Germany,SC Paderborn 07
A. Yıldırım,Aygün Yıldırım,27,66,"RM,CAM",RM,Germany,SSV Jahn Regensburg
D. Otto,David Otto,23,68,ST,ST,Germany,FC St. Pauli
T. Leistner,Toni Leistner,31,70,CB,CB,Germany,Sint-Truidense VV
F. Holland,Fabian Holland,31,73,"LB,LWB",LB,Germany,SV Darmstadt 98
M. Schulz,Marvin Schulz,27,68,"CDM,CB,CM",CDM,Germany,Holstein Kiel
L. Mühl,Lukas Mühl,25,70,CB,CB,Germany,FK Austria Wien
S. Appelkamp,Shinta Appelkamp,21,70,"CAM,LM,CM",CAM,Germany,Fortuna Düsseldorf
M. Christiansen,Max Christiansen,25,71,"CDM,CM",CDM,Germany,SpVgg Greuther Fürth
D. Reimann,Dominik Reimann,25,68,GK,GK,Germany,1. FC Magdeburg
M. Hartel,Marcel Hartel,26,70,CM,CAM,Germany,FC St. Pauli
A. Karazor,Atakan Karazor,25,73,"CDM,CB",CB,Germany,VfB Stuttgart
M. Rzatkowski,Marc Rzatkowski,32,67,"CM,CDM,CAM",CM,Germany,DSC Arminia Bielefeld
M. Beier,Maximilian Beier,19,70,"ST,RM",ST,Germany,Hannover 96
P. Steinhart,Phillipp Steinhart,29,66,"LB,LM,CB",LB,Germany,TSV 1860 München
F. Passlack,Felix Passlack,24,70,"RM,RB,CM",RWB,Germany,Borussia Dortmund
M. Hiller,Marco Hiller,25,69,GK,GK,Germany,TSV 1860 München
M. Wunderlich,Mike Wunderlich,36,67,"CAM,CM",CAM,Germany,1. FC Kaiserslautern
A. Wiegel,Andreas Wiegel,30,67,"RB,RWB,RM",RB,Germany,Rot-Weiß Essen
M. Berisha,Mergim Berisha,24,73,"ST,CF",CAM,Germany,FC Augsburg
M. Wittek,Maximilian Wittek,26,75,LWB,LWB,Germany,Vitesse
A. Walke,Alexander Walke,39,66,GK,GK,Germany,FC Red Bull Salzburg
M. Ducksch,Marvin Ducksch,28,75,ST,ST,Germany,SV Werder Bremen
N. Lomb,Niklas Lomb,28,66,GK,GK,Germany,Bayer 04 Leverkusen
S. Lex,Stefan Lex,32,66,"ST,LM,RM",ST,Germany,TSV 1860 München
R. Hack,Robin Hack,23,70,"LM,CAM,CF",LM,Germany,DSC Arminia Bielefeld
P. Testroet,Pascal Testroet,31,71,ST,ST,Germany,FC Ingolstadt 04
M. Esser,Michael Esser,34,72,GK,GK,Germany,VfL Bochum 1848
F. Dahmen,Finn Dahmen,24,71,GK,GK,Germany,1. FSV Mainz 05
L. Daschner,Lukas Daschner,23,66,"CAM,CF,RM",CAM,Germany,FC St. Pauli
F. Nmecha,Felix Nmecha,21,68,"CAM,CM,LM",CAM,Germany,VfL Wolfsburg
M. Besuschkow,Max Besuschkow,25,71,"CM,CDM",CM,Germany,Hannover 96
M. Leitsch,Maxim Leitsch,24,74,CB,CB,Germany,1. FSV Mainz 05
R. Wolf,Raphael Wolf,34,68,GK,GK,Germany,Fortuna Düsseldorf
J. Gondorf,Jérôme Gondorf,34,71,"CM,CDM",CM,Germany,Karlsruher SC
K. Kraus,Kevin Kraus,29,67,CB,CB,Germany,1. FC Kaiserslautern
P. Breier,Pascal Breier,30,67,"LM,ST,RM",LM,Germany,F.C. Hansa Rostock
J. Beste,Jan Niklas Beste,23,68,"CAM,RM,LB",LM,Germany,1. FC Heidenheim 1846
N. Kreuzer,Niklas Kreuzer,29,68,"RWB,RM",RWB,Germany,Hallescher FC
D. Eckert Ayensa,Dennis Eckert Ayensa,25,68,ST,ST,Germany,Royale Union Saint-Gilloise
J. Justvan,Julian Justvan,24,71,"CAM,RM,LWB",CAM,Germany,SC Paderborn 07
J. Vagnoman,Josha Vagnoman,21,71,"RB,RM,LB",RB,Germany,VfB Stuttgart
K. Klefisch,Kai Klefisch,22,68,"CDM,CM",CB,Germany,SC Paderborn 07
R. Krauße,Robin Krauße,28,68,"CDM,CM",CB,Germany,Eintracht Braunschweig
E. Bekiroglu,Efkan Bekiroglu,26,67,"CM,CAM,CDM",CAM,Germany,Aytemiz Alanyaspor
T. Kirschbaum,Thorsten Kirschbaum,35,68,GK,GK,Germany,SSV Jahn Regensburg
N. Schulz,Nico Schulz,29,74,"LB,LM",LB,Germany,Borussia Dortmund
T. Skarke,Tim Skarke,25,71,"RM,LM,RWB",RM,Germany,1. FC Union Berlin
T. Keller,Thomas Keller,22,67,"CB,CDM",CB,Germany,1. FC Heidenheim 1846
S. Tigges,Steffen Tigges,23,68,ST,ST,Germany,1. FC Köln
L. Schleimer,Lukas Schleimer,22,66,"CAM,CF,LM",CAM,Germany,1. FC Nürnberg
F. Bastians,Felix Bastians,34,66,"LB,CB",CB,Germany,Rot-Weiß Essen
F. Alidou,Faride Alidou,20,66,LM,RM,Germany,Eintracht Frankfurt
L. Pfeiffer,Luca Pfeiffer,25,71,ST,ST,Germany,VfB Stuttgart
P. Dorn,Pius Dorn,25,66,"RM,RB,CM",RM,Germany,FC Luzern
S. Bell,Stefan Bell,30,75,CB,CB,Germany,1. FSV Mainz 05
F. Kaufmann,Fabio Kaufmann,29,67,"RM,ST",RM,Germany,Eintracht Braunschweig
S. Kerk,Sebastian Kerk,28,71,"CAM,CF,LM",LM,Germany,Hannover 96
A. Ferati,Arianit Ferati,24,66,CAM,LM,Germany,Fortuna Sittard
D. Franke,Dominik Franke,23,66,"LB,CB,LWB",LB,Germany,FC Ingolstadt 04
H. Zuck,Hendrick Zuck,31,66,"LB,LM",LB,Germany,1. FC Kaiserslautern
K. Müller,Kevin Müller,31,71,GK,GK,Germany,1. FC Heidenheim 1846
F. Schnellhardt,Fabian Schnellhardt,28,68,CM,CAM,Germany,SV Darmstadt 98
V. Müller,Vincent Müller,21,67,GK,GK,Germany,MSV Duisburg
B. Behrendt,Brian Behrendt,30,68,CB,CB,Germany,Eintracht Braunschweig
N. Schmidt,Niklas Schmidt,24,68,"CAM,CM,CF",CAM,Germany,SV Werder Bremen
N. Neidhart,Nico Neidhart,27,68,"RB,LB,RWB",RB,Germany,F.C. Hansa Rostock
F. Uduokhai,Felix Uduokhai,24,75,CB,CB,Germany,FC Augsburg
U. Akyol,Ufuk Akyol,24,66,"CM,CDM",CAM,Germany,Antalyaspor
E. Huth,Elias Huth,25,66,ST,ST,Germany,FC Erzgebirge Aue
M. Aydin,Mehmet Can Aydin,20,67,RB,RM,Germany,FC Schalke 04
J. Leweling,Jamie Leweling,21,73,"ST,RW",ST,Germany,1. FC Union Berlin
F. Klaus,Felix Klaus,29,70,"RM,LM",RW,Germany,Fortuna Düsseldorf
F. Ronstadt,Frank Ronstadt,24,67,"RB,LB",RB,Germany,SV Darmstadt 98
O. Hüsing,Oliver Hüsing,29,73,CB,CB,Germany,DSC Arminia Bielefeld
B. Kopplin,Björn Kopplin,33,69,"LB,RB",LB,Germany,Randers FC
M. Dittgen,Maximilian Dittgen,27,66,"ST,LM",LM,Germany,FC Ingolstadt 04
P. Mainka,Patrick Mainka,27,72,CB,CB,Germany,1. FC Heidenheim 1846
J. Meier,Jonathan Meier,22,66,"LB,LM",LWB,Germany,SG Dynamo Dresden
S. Mustafi,Shkodran Mustafi,30,73,CB,CB,Germany,Levante Unión Deportiva
S. Gümüş,Sinan Gümüş,28,67,"RM,ST,LM",CAM,Germany,Antalyaspor
M. Multhaup,Maurice Multhaup,25,66,"RM,RB,CAM",RM,Germany,Eintracht Braunschweig
T. Siersleben,Tim Siersleben,22,67,"CB,LB",CB,Germany,1. FC Heidenheim 1846
P. Klewin,Philipp Klewin,28,67,GK,GK,Germany,FC Erzgebirge Aue
D. Batz,Daniel Batz,31,67,GK,GK,Germany,1. FC Saarbrücken
S. Skrzybski,Steven Skrzybski,29,67,"ST,RM,CAM",RW,Germany,Holstein Kiel
M. Pieringer,Marvin Pieringer,22,68,ST,ST,Germany,SC Paderborn 07
M. Bauer,Maximilian Bauer,22,71,CB,CB,Germany,FC Augsburg
S. Klaas,Sebastian Klaas,24,66,"CAM,CM",CAM,Germany,SC Paderborn 07
M. Kwarteng,Moritz-Broni Kwarteng,24,65,"CAM,LW,RW",CAM,Germany,1. FC Magdeburg
E. Zenga,Erik Zenga,29,70,"CDM,CM",CDM,Germany,SV Sandhausen
M. Costly,Marcel Costly,26,66,"RB,RM",RB,Germany,FC Ingolstadt 04
P. Pflücke,Patrick Pflücke,25,67,"LW,RW,CAM",CAM,Germany,Servette FC
J. Burkardt,Jonathan Burkardt,21,76,"ST,CF,RW",ST,Germany,1. FSV Mainz 05
K. Schade,Kevin Schade,20,70,RM,RW,Germany,Sport-Club Freiburg
T. Lemperle,Tim Lemperle,20,66,"RM,LM,ST",RM,Germany,1. FC Köln
M. Franke,Marcel Franke,29,68,CB,CB,Germany,Karlsruher SC
J. Günther-Schmidt,Julian Günther-Schmidt,27,66,"CAM,ST,LM",ST,Germany,1. FC Saarbrücken
S. Zellner,Steven Zellner,31,66,CB,CB,Germany,1. FC Saarbrücken
L. Höler,Lucas Höler,27,73,"ST,CF",ST,Germany,Sport-Club Freiburg
A. Hoffmann,André Hoffmann,29,71,CB,CB,Germany,Fortuna Düsseldorf
M. Schröter,Morris Schröter,26,66,"RM,RWB",RM,Germany,F.C. Hansa Rostock
N. Kijewski,Niko Kijewski,26,66,"LB,LM",LB,Germany,Eintracht Braunschweig
F. Oswald,Ferdinand Oswald,31,67,GK,GK,Germany,WSG Tirol
N. Atubolu,Noah Atubolu,20,65,GK,GK,Germany,Sport-Club Freiburg
T. Strobl,Tobias Strobl,32,73,"CDM,CB",CDM,Germany,FC Augsburg
S. Asta,Simon Asta,21,67,"RB,RWB",RB,Germany,SpVgg Greuther Fürth
G. Jung,Gideon Jung,27,67,"CB,CDM",CB,Germany,SpVgg Greuther Fürth
J. Geis,Johannes Geis,28,70,CDM,CDM,Germany,1. FC Nürnberg
J. Ngankam,Jessic Ngankam,21,69,"ST,RM",ST,Germany,Hertha BSC
M. Männel,Martin Männel,34,70,GK,GK,Germany,FC Erzgebirge Aue
L. Petkov,Lukas Petkov,21,66,"CM,CAM",CAM,Germany,FC Augsburg
C. Boukhalfa,Carlo Boukhalfa,23,67,"CAM,CM,CDM",CAM,Germany,FC St. Pauli
N. Füllkrug,Niclas Füllkrug,29,75,ST,ST,Germany,SV Werder Bremen
K. Rabihic,Kasim Rabihic,29,68,"LM,RM,ST",LM,Germany,1. FC Saarbrücken
K. Caliskaner,Kaan Caliskaner,22,66,"ST,CAM",ST,Germany,SSV Jahn Regensburg
L. Fröde,Lukas Fröde,27,68,"CDM,CB",CB,Germany,F.C. Hansa Rostock
S. Mai,Sebastian Mai,28,67,CB,CB,Germany,MSV Duisburg
R. Yalçın,Robin Yalçın,28,69,"CDM,CB,RB",CDM,Germany,Demir Grup Sivasspor
P. Schmidt,Patrick Schmidt,28,66,"ST,LW,RM",ST,Germany,FC Ingolstadt 04
M. Risse,Marcel Risse,32,67,RM,RM,Germany,Viktoria Köln
L. Moser,Lennart Moser,22,66,GK,GK,Germany,KAS Eupen
D. Blum,Danny Blum,31,70,"RW,LW",RW,Germany,APOEL Nicosia FC
P. Ziereis,Philipp Ziereis,29,70,CB,CB,Germany,LASK Linz
D. Latza,Danny Latza,32,72,"CM,CDM",CM,Germany,FC Schalke 04
